model,trial,position,variant,seconds,checksum,validation
mobilenetv2-7,4,1,locality,0.074693958,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,5,0,locality,0.074930083,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,5,1,base,0.211099166,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,6,0,locality,0.07407525,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,6,1,base,0.210488375,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,7,0,base,0.211215083,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,7,1,locality,0.077089375,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,8,0,base,0.209951458,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,8,1,locality,0.075940917,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,9,0,locality,0.074767042,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,9,1,base,0.211163375,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,10,0,locality,0.074397459,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,10,1,base,0.212138291,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,11,0,base,0.211108292,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,11,1,locality,0.075765667,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,12,0,base,0.211379458,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,12,1,locality,0.075100459,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,13,0,locality,0.075610125,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,13,1,base,0.213007125,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,14,0,locality,0.074376667,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,14,1,base,0.211718208,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,15,0,base,0.211560208,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,15,1,locality,0.073860708,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,16,0,base,0.21116425,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,16,1,locality,0.077973292,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,17,0,locality,0.075413417,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,17,1,base,0.211402875,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,18,0,locality,0.075369958,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,18,1,base,0.211706917,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,19,0,base,0.210971958,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
